TRAIN,G411,上海虹桥,icon,G,TO_OTHER_LINES,
INITIAL,11:05,11:20,北京南,2,D,D
STOP,11:41,11:43,廊坊,2,D,D
STOP,12:18,12:20,沧州西,2,D,D
STOP,12:47,12:49,德州东,2,D,D
STOP,13:13,13:15,济南西,2,D,D
STOP,14:05,14:10,滕州东,2,D,D
STOP,14:36,14:38,徐州东,2,D,D
STOP,15:14,15:16,蚌埠南,2,D,D
STOP,15:57,15:59,南京南,2,D,D
STOP,16:43,16:45,无锡东,2,D,D
STOP,16:56,17:01,苏州北,2,D,D
TERMINAL,17:25,17:39,上海虹桥,2,D,D
PASS,17:20,17:20,E3,2,D,D
TRAIN,G1955,上海虹桥,icon,G,TO_OTHER_LINES,
INITIAL,8:31,8:46,太原南,2,D,D
STOP,9:32,9:35,阳泉北,2,D,D
STOP,10:14,10:40,石家庄,2,D,D
STOP,11:19,11:21,邯郸东,2,D,D
STOP,11:38,11:44,安阳东,2,D,D
STOP,12:30,12:52,郑州东,2,D,D
STOP,13:12,13:15,开封北,2,D,D
STOP,13:50,13:55,商丘,2,D,D
STOP,14:18,14:20,永城北,2,D,D
STOP,14:47,14:50,徐州东,2,D,D
STOP,15:09,15:14,宿州东,2,D,D
STOP,16:13,16:15,南京南,2,D,D
STOP,16:35,16:37,镇江南,2,D,D
STOP,16:54,16:56,常州北,2,D,D
STOP,17:19,17:21,苏州北,2,D,D
TERMINAL,17:44,18:01,上海虹桥,10,D,D
PASS,17:39,17:39,E3,2,D,D
TRAIN,G133,上海虹桥,icon,G,TO_OTHER_LINES,
INITIAL,12:35,12:50,北京南,2,D,D
STOP,13:25,13:27,天津南,2,D,D
STOP,13:49,13:55,沧州西,2,D,D
STOP,14:21,14:23,德州东,2,D,D
STOP,14:47,14:50,济南西,2,D,D
STOP,16:25,16:27,蚌埠南,2,D,D
STOP,17:09,17:13,南京南,2,D,D
STOP,18:02,18:09,苏州北,2,D,D
STOP,18:21,18:23,昆山南,2,D,D
TERMINAL,18:40,18:50,上海虹桥,4,D,D
PASS,18:35,18:35,E3,2,D,D
TRAIN,G135,上海虹桥,icon,G,TO_OTHER_LINES,
INITIAL,12:50,13:05,北京南,2,D,D
STOP,13:26,13:28,廊坊,2,D,D
STOP,14:26,14:28,德州东,2,D,D
STOP,14:52,14:54,济南西,2,D,D
STOP,15:26,15:29,曲阜东,2,D,D
STOP,16:19,16:21,宿州东,2,D,D
STOP,16:44,16:49,蚌埠南,2,D,D
STOP,17:30,17:32,南京南,2,D,D
STOP,17:51,17:53,镇江南,2,D,D
STOP,18:23,18:29,无锡东,2,D,D
TERMINAL,18:59,19:15,上海虹桥,3,D,D
PASS,18:54,18:54,E3,2,D,D
TRAIN,G215,上海虹桥,icon,G,TO_OTHER_LINES,
INITIAL,14:31,14:46,天津西,2,D,D
STOP,15:39,15:41,德州东,2,D,D
STOP,16:05,16:08,济南西,2,D,D
STOP,16:58,17:09,枣庄,2,D,D
STOP,17:27,17:29,徐州东,2,D,D
STOP,17:48,17:50,宿州东,2,D,D
STOP,18:36,18:38,滁州,2,D,D
STOP,18:56,19:01,南京南,2,D,D
STOP,19:33,19:35,常州北,2,D,D
STOP,19:52,19:54,无锡东,2,D,D
TERMINAL,20:23,20:33,上海虹桥,2,D,D
PASS,20:18,20:18,E3,2,D,D
TRAIN,G575,上海虹桥,icon,G,TO_OTHER_LINES,
INITIAL,14:36,14:51,长沙南,2,D,D
