TRAIN,D906,上海,crh1e-new,D,TO_SUB_TERMINAL,20道OK
INITIAL,19:45,20:00,深圳北,1,U,U
STOP,5:44,5:50,杭州东,3,U,U
PASS,5:55,5:55,J3,1,U,U
PASS,5:38,5:38,E2,1,U,U
STOP,6:40,6:43,上海虹桥2,20,U,U
PASS,6:33,6:33,J4,1,U,U
PASS,6:35,6:35,J5,1,U,U
PASS,6:48,6:48,E4,1,U,U
TERMINAL,7:12,7:27,上海,1,U,U
TRAIN,D932,上海虹桥,crh1e,D,TO_MAIN_TERMINAL,(3)
INITIAL,15:52,16:07,湛江西,1,U,U
STOP,16:39,16:41,茂名,1,U,U
STOP,17:24,17:26,阳江,1,U,U
STOP,18:28,18:30,新会,1,U,U
STOP,19:04,19:24,广州南,1,U,U
STOP,20:02,20:10,深圳北,1,U,U
STOP,22:04,22:06,潮汕,1,U,U
STOP,5:54,6:00,杭州东,5,U,U
PASS,6:05,6:05,J3,1,U,U
PASS,5:48,5:48,E2,1,U,U
TERMINAL,6:50,7:05,上海虹桥,3,U,U
PASS,6:43,6:43,J4,1,U,U
TRAIN,D936,上海虹桥,crh1e,D,TO_MAIN_TERMINAL,(6)
INITIAL,19:19,19:34,广州南,1,U,U
STOP,20:07,20:15,深圳北,1,U,U
STOP,21:45,21:47,普宁,1,U,U
STOP,23:25,23:29,厦门北,1,U,U
STOP,4:07,4:25,宁波,1,U,U
STOP,5:59,6:05,杭州东,3,U,U
PASS,6:10,6:10,J3,1,U,U
PASS,5:53,5:53,E2,1,U,U
TERMINAL,6:55,7:10,上海虹桥,6,U,U
PASS,6:48,6:48,J4,1,U,U
TRAIN,G7358,上海,crh380d,G,TO_SUB_TERMINAL,20道OK
INITIAL,5:55,6:10,杭州,3,U,U
PASS,6:17,6:17,J2,1,U,U
PASS,6:22,6:22,J3,1,U,U
STOP,6:39,6:41,嘉兴南,1,U,U
STOP,7:08,7:10,上海虹桥2,20,U,U
PASS,7:01,7:01,J4,1,U,U
PASS,7:03,7:03,J5,1,U,U
PASS,7:15,7:15,E4,1,U,U
TERMINAL,7:36,7:51,上海,1,U,U
TRAIN,D942,上海虹桥,crh1e,D,TO_MAIN_TERMINAL,(4)
INITIAL,18:03,18:18,珠海,1,U,U
STOP,18:41,18:44,中山,1,U,U
STOP,19:14,19:39,广州南,1,U,U
STOP,20:12,20:20,深圳北,1,U,U
STOP,20:47,20:49,惠州南,1,U,U
STOP,23:30,23:35,厦门北,1,U,U
STOP,4:12,4:30,宁波,1,U,U
STOP,6:04,6:10,杭州东,1,U,U
PASS,6:15,6:15,J3,1,U,U
PASS,5:58,5:58,E2,1,U,U
TERMINAL,7:00,7:10,上海虹桥,4,U,U
PASS,6:53,6:53,J4,1,U,U
TRAIN,G7556,上海虹桥,crh380b,G,TO_MAIN_TERMINAL,8道(6)套G576@0824苏州北长沙南
INITIAL,6:33,6:48,杭州东,6,U,U
PASS,6:53,6:53,J3,1,U,U
STOP,6:58,7:00,余杭,1,U,U
STOP,7:12,7:14,桐乡,1,U,U
STOP,7:25,7:27,嘉兴南,1,U,U
STOP,7:47,7:49,松江南,1,U,U
TERMINAL,8:03,8:13,上海虹桥,6,U,U
PASS,7:56,7:56,J4,1,U,U
TRAIN,G7558,上海虹桥,crh380b,G,TO_MAIN_TERMINAL,16道(1)套G212@0842天津
INITIAL,6:51,7:06,杭州东,1,U,U
PASS,7:11,7:11,J3,1,U,U
STOP,7:23,7:25,桐乡,1,U,U
STOP,7:40,7:42,嘉善南,1,U,U
STOP,7:52,7:54,金山北,1,U,U
TERMINAL,8:12,8:27,上海虹桥,1,U,U
PASS,8:05,8:05,J4,1,U,U
TRAIN,G7310,上海虹桥,crh380d,G,TO_MAIN_TERMINAL,(5)
INITIAL,6:53,7:08,杭州,4,U,U
PASS,7:15,7:15,J2,1,U,U
PASS,7:20,7:20,J3,1,U,U
STOP,7:26,7:28,余杭,1,U,U
STOP,7:36,7:38,海宁西,1,U,U
STOP,7:53,7:55,嘉兴南,1,U,U
TERMINAL,8:22,8:37,上海虹桥,5,U,U
PASS,8:15,8:15,J4,1,U,U
TRAIN,G1866,郑州东,crh380b,G,TO_OTHER_LINES,10道(5)
INITIAL,6:10,6:25,宁波,1,U,U
STOP,6:44,6:46,余姚北,1,U,U
STOP,6:58,7:00,绍兴东,1,U,U
